City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Ponta Do Sol,PT,2022-03-23 20:03:54,32.6667,-17.1,61.43,67,30,11.63
91,Butaritari,KI,2022-03-23 20:03:55,3.0707,172.7902,79.99,82,77,15.12
92,Port Elizabeth,ZA,2022-03-23 20:02:13,-33.918,25.5701,67.1,94,75,12.66
93,Kapit,MY,2022-03-23 20:03:55,2.0167,112.9333,70.88,89,96,0.65
94,Howard,US,2022-03-23 20:00:00,39.2504,-76.933,52.07,87,100,15.01
95,Pisco,PE,2022-03-23 20:03:55,-13.7,-76.2167,74.01,74,84,7.07
96,Ust-Shonosha,RU,2022-03-23 20:03:55,61.1531,41.343,24.39,99,97,4.27
97,Puerto Madryn,AR,2022-03-23 20:03:56,-42.7692,-65.0385,67.42,24,1,17.25
98,Vostok,RU,2022-03-23 20:03:56,46.4856,135.8833,13.3,94,29,4.52
99,Bubaque,GW,2022-03-23 20:03:56,11.2833,-15.8333,75.07,72,77,13.69
100,Lorengau,PG,2022-03-23 20:03:56,-2.0226,147.2712,81.14,76,100,5.53
101,Punta Arenas,CL,2022-03-23 20:03:57,-53.15,-70.9167,48.11,36,100,11.7
102,Vila Franca Do Campo,PT,2022-03-23 20:03:57,37.7167,-25.4333,64.2,70,37,6.02
103,Pevek,RU,2022-03-23 20:03:57,69.7008,170.3133,14.09,84,100,7.83
104,Sitrah,BH,2022-03-23 20:03:57,26.1547,50.6206,80.6,28,0,8.05
105,Thompson,CA,2022-03-23 20:03:58,55.7435,-97.8558,33.58,100,97,8.93
106,Vestmannaeyjar,IS,2022-03-23 20:03:58,63.4427,-20.2734,43.86,92,100,26.33
107,Alofi,NU,2022-03-23 20:03:58,-19.0595,-169.9187,82.29,83,75,5.75
108,Iquitos,PE,2022-03-23 20:03:58,-3.7481,-73.2472,84.07,75,99,2.59
109,Port Alfred,ZA,2022-03-23 20:03:59,-33.5906,26.891,74.52,70,100,7.25
110,Sao Filipe,CV,2022-03-23 20:03:59,14.8961,-24.4956,70.75,76,1,9.46
111,Port Lincoln,AU,2022-03-23 20:03:59,-34.7333,135.8667,58.6,74,3,7.45
112,Ekhabi,RU,2022-03-23 20:03:59,53.5102,142.9671,3.58,96,14,4.92
113,Olafsvik,IS,2022-03-23 20:04:00,64.8945,-23.7142,41.92,99,100,14.34
114,Amapa,BR,2022-03-23 20:04:00,1.0,-52.0,75.83,97,100,4.68
115,Alekseyevsk,RU,2022-03-23 20:04:00,57.8406,108.3492,10.87,97,100,1.86
116,Barao De Melgaco,BR,2022-03-23 20:04:00,-16.1944,-55.9675,92.12,47,21,8.84
117,Ugoofaaru,MV,2022-03-23 20:04:01,5.6667,73.0,82.65,65,1,10.4
118,Achacachi,BO,2022-03-23 20:04:01,-16.05,-68.6833,54.01,68,21,7.87
119,San Alberto,CO,2022-03-23 20:04:01,7.7611,-73.3922,94.3,46,29,4.52
120,Zheleznodorozhnyy,RU,2022-03-23 20:04:01,55.7503,38.0042,37.92,99,100,2.75
121,Sakakah,SA,2022-03-23 20:04:02,29.9697,40.2064,56.01,35,0,13.11
122,Husavik,IS,2022-03-23 20:04:02,66.0449,-17.3389,34.47,85,91,8.68
123,Opuwo,NA,2022-03-23 20:04:02,-18.0607,13.84,68.83,85,100,6.4
124,Salalah,OM,2022-03-23 20:04:02,17.0151,54.0924,74.53,58,5,2.06
125,Rio Tuba,PH,2022-03-23 20:04:03,8.5061,117.4317,80.28,81,2,6.49
126,Mar Del Plata,AR,2022-03-23 20:04:03,-38.0023,-57.5575,66.87,97,54,21.99
127,Chekhov,RU,2022-03-23 20:04:03,55.1431,37.4711,33.75,99,60,4.07
128,Chifeng,CN,2022-03-23 20:04:03,42.2683,118.9636,33.04,75,15,2.73
129,Dunedin,NZ,2022-03-23 20:04:04,-45.8742,170.5036,60.76,78,73,13.27
130,Moerai,PF,2022-03-23 20:04:04,-22.4333,-151.3333,79.66,70,100,6.53
131,Hit,IQ,2022-03-23 20:04:04,33.6416,42.8251,56.14,61,0,17.69
132,Dourbali,TD,2022-03-23 20:04:04,11.8091,15.8632,86.13,13,98,10.51
133,Tasiilaq,GL,2022-03-23 20:04:05,65.6145,-37.6368,12.36,85,100,4.0
134,Banganapalle,IN,2022-03-23 20:04:05,15.3167,78.2333,86.09,53,96,7.49
135,Manta,EC,2022-03-23 20:04:05,-0.95,-80.7333,80.55,77,99,10.45
